transaction_id,date,customer_id,customer_name,product,transaction_type,amount,currency,contract_id,period_start,period_end
TXN-0001,2025-01-19,C-100,TechFlow Inc,Platform Pro Annual,subscription_billing,24777.23,USD,CON-100,2025-01-01,2025-12-31
TXN-0002,2025-01-03,C-100,TechFlow Inc,Platform Basic Monthly,subscription_billing,1291.38,USD,CON-100,2025-01-01,2025-01-28
TXN-0003,2025-01-12,C-100,TechFlow Inc,API Overage,usage_billing,4122.67,USD,CON-100,2025-01-01,2025-01-28
TXN-0004,2025-01-25,C-100,TechFlow Inc,Premium Support,subscription_refund,-2014.13,USD,CON-100,2025-01-01,2025-12-31
TXN-0005,2025-01-10,C-100,TechFlow Inc,Premium Support,subscription_billing,5842.45,USD,CON-100,2025-01-01,2025-12-31
TXN-0006,2025-01-03,C-101,DataSphere Ltd,Platform Standard Monthly,subscription_billing,2527.76,USD,CON-101,2025-01-01,2025-01-28
TXN-0007,2025-01-18,C-101,DataSphere Ltd,Platform Basic Monthly,subscription_billing,1153.92,USD,CON-101,2025-01-01,2025-01-28
TXN-0008,2025-01-15,C-101,DataSphere Ltd,Implementation,service_billing,7759.9,USD,CON-101,2025-01-01,2025-12-31
TXN-0009,2025-01-03,C-101,DataSphere Ltd,API Overage,usage_billing,3398.71,USD,CON-101,2025-01-01,2025-01-28
TXN-0010,2025-01-10,C-101,DataSphere Ltd,Premium Support,subscription_billing,5620.46,USD,CON-101,2025-01-01,2025-12-31
TXN-0011,2025-01-12,C-102,CloudNine Corp,Platform Pro Annual,subscription_billing,25310.39,USD,CON-102,2025-01-01,2025-12-31
TXN-0012,2025-01-08,C-102,CloudNine Corp,Platform Standard Monthly,subscription_billing,2592.31,USD,CON-102,2025-01-01,2025-01-28
TXN-0013,2025-01-13,C-102,CloudNine Corp,Platform Basic Monthly,subscription_billing,1210.28,USD,CON-102,2025-01-01,2025-01-28
TXN-0014,2025-01-01,C-102,CloudNine Corp,API Overage,usage_billing,859.8,USD,CON-102,2025-01-01,2025-01-28
TXN-0015,2025-01-07,C-102,CloudNine Corp,Premium Support,subscription_billing,6266.32,USD,CON-102,2025-01-01,2025-12-31
TXN-0016,2025-01-05,C-103,InnovateTech,Platform Pro Annual,subscription_billing,23705.1,USD,CON-103,2025-01-01,2025-12-31
TXN-0017,2025-01-01,C-103,InnovateTech,Platform Standard Monthly,subscription_billing,2403.79,USD,CON-103,2025-01-01,2025-01-28
TXN-0018,2025-01-14,C-103,InnovateTech,Platform Basic Monthly,subscription_billing,1228.07,USD,CON-103,2025-01-01,2025-01-28
TXN-0019,2025-01-10,C-103,InnovateTech,Implementation,service_billing,8294.45,USD,CON-103,2025-01-01,2025-12-31
TXN-0020,2025-01-04,C-103,InnovateTech,API Overage,usage_billing,1403.53,USD,CON-103,2025-01-01,2025-01-28
TXN-0021,2025-01-11,C-103,InnovateTech,Premium Support,subscription_billing,6288.35,USD,CON-103,2025-01-01,2025-12-31
TXN-0022,2025-01-06,C-104,Quantum Analytics,Platform Standard Monthly,subscription_billing,2588.12,USD,CON-104,2025-01-01,2025-01-28
TXN-0023,2025-01-11,C-104,Quantum Analytics,Platform Basic Monthly,subscription_billing,1221.66,USD,CON-104,2025-01-01,2025-01-28
TXN-0024,2025-01-13,C-104,Quantum Analytics,Implementation,service_billing,8289.63,USD,CON-104,2025-01-01,2025-12-31
TXN-0025,2025-01-09,C-104,Quantum Analytics,API Overage,usage_billing,524.49,USD,CON-104,2025-01-01,2025-01-28
TXN-0026,2025-01-09,C-104,Quantum Analytics,Premium Support,subscription_billing,5727.9,USD,CON-104,2025-01-01,2025-12-31
TXN-0027,2025-01-12,C-105,NexGen Solutions,Platform Pro Annual,subscription_billing,23019.18,USD,CON-105,2025-01-01,2025-12-31
TXN-0028,2025-01-05,C-105,NexGen Solutions,Platform Basic Monthly,subscription_billing,1203.61,USD,CON-105,2025-01-01,2025-01-28
TXN-0029,2025-01-12,C-105,NexGen Solutions,Implementation,service_billing,8985.3,USD,CON-105,2025-01-01,2025-12-31
TXN-0030,2025-01-17,C-105,NexGen Solutions,API Overage,usage_billing,2874.08,USD,CON-105,2025-01-01,2025-01-28
TXN-0031,2025-01-06,C-105,NexGen Solutions,Premium Support,subscription_billing,6050.6,USD,CON-105,2025-01-01,2025-12-31
TXN-0032,2025-01-16,C-106,AlphaWave Digital,Platform Pro Annual,subscription_billing,23468.64,USD,CON-106,2025-01-01,2025-12-31
TXN-0033,2025-01-17,C-106,AlphaWave Digital,Platform Basic Monthly,subscription_refund,-518.18,USD,CON-106,2025-01-01,2025-01-28
TXN-0034,2025-01-07,C-106,AlphaWave Digital,Platform Basic Monthly,subscription_billing,1222.69,USD,CON-106,2025-01-01,2025-01-28
TXN-0035,2025-01-10,C-106,AlphaWave Digital,API Overage,usage_billing,2152.57,USD,CON-106,2025-01-01,2025-01-28
TXN-0036,2025-01-17,C-107,Prisma Systems,Platform Pro Annual,subscription_billing,23613.53,USD,CON-107,2025-01-01,2025-12-31
TXN-0037,2025-01-16,C-107,Prisma Systems,Implementation,service_billing,7423.98,USD,CON-107,2025-01-01,2025-12-31
TXN-0038,2025-01-01,C-107,Prisma Systems,API Overage,usage_billing,4612.65,USD,CON-107,2025-01-01,2025-01-28
TXN-0039,2025-01-16,C-107,Prisma Systems,Premium Support,subscription_refund,-1791.34,USD,CON-107,2025-01-01,2025-12-31
TXN-0040,2025-01-03,C-107,Prisma Systems,Premium Support,subscription_billing,6087.92,USD,CON-107,2025-01-01,2025-12-31
TXN-0041,2025-01-01,C-108,Vertex AI Labs,Platform Pro Annual,subscription_billing,23142.78,USD,CON-108,2025-01-01,2025-12-31
TXN-0042,2025-01-01,C-108,Vertex AI Labs,Platform Standard Monthly,subscription_billing,2667.9,USD,CON-108,2025-01-01,2025-01-28
TXN-0043,2025-01-14,C-108,Vertex AI Labs,Platform Basic Monthly,subscription_billing,1155.93,USD,CON-108,2025-01-01,2025-01-28
TXN-0044,2025-01-01,C-108,Vertex AI Labs,Implementation,service_billing,8364.2,USD,CON-108,2025-01-01,2025-12-31
TXN-0045,2025-01-16,C-108,Vertex AI Labs,API Overage,usage_billing,2712.29,USD,CON-108,2025-01-01,2025-01-28
TXN-0046,2025-01-22,C-109,FusionPoint,Platform Standard Monthly,subscription_refund,-574.26,USD,CON-109,2025-01-01,2025-01-28
TXN-0047,2025-01-14,C-109,FusionPoint,Platform Standard Monthly,subscription_billing,2472.07,USD,CON-109,2025-01-01,2025-01-28
TXN-0048,2025-01-01,C-109,FusionPoint,Platform Basic Monthly,subscription_billing,1242.84,USD,CON-109,2025-01-01,2025-01-28
TXN-0049,2025-01-08,C-109,FusionPoint,Implementation,service_billing,8284.04,USD,CON-109,2025-01-01,2025-12-31
TXN-0050,2025-01-10,C-110,ClearPath Software,Platform Pro Annual,subscription_billing,24110.97,USD,CON-110,2025-01-01,2025-12-31
TXN-0051,2025-01-10,C-110,ClearPath Software,Platform Standard Monthly,subscription_billing,2635.38,USD,CON-110,2025-01-01,2025-01-28
TXN-0052,2025-01-13,C-110,ClearPath Software,Platform Basic Monthly,subscription_billing,1263.23,USD,CON-110,2025-01-01,2025-01-28
TXN-0053,2025-01-19,C-110,ClearPath Software,Premium Support,subscription_billing,5950.41,USD,CON-110,2025-01-01,2025-12-31
TXN-0054,2025-01-19,C-111,BlueSky Dynamics,Platform Pro Annual,subscription_billing,23175.39,USD,CON-111,2025-01-01,2025-12-31
TXN-0055,2025-01-10,C-111,BlueSky Dynamics,Platform Standard Monthly,subscription_billing,2585.78,USD,CON-111,2025-01-01,2025-01-28
TXN-0056,2025-01-01,C-111,BlueSky Dynamics,Platform Basic Monthly,subscription_billing,1103.24,USD,CON-111,2025-01-01,2025-01-28
TXN-0057,2025-01-15,C-111,BlueSky Dynamics,Implementation,service_billing,7980.94,USD,CON-111,2025-01-01,2025-12-31
TXN-0058,2025-01-18,C-111,BlueSky Dynamics,API Overage,usage_billing,1151.7,USD,CON-111,2025-01-01,2025-01-28
TXN-0059,2025-01-05,C-111,BlueSky Dynamics,Premium Support,subscription_billing,5801.46,USD,CON-111,2025-01-01,2025-12-31
TXN-0060,2025-01-01,C-112,Pinnacle Data,Platform Basic Monthly,subscription_billing,1251.15,USD,CON-112,2025-01-01,2025-01-28
TXN-0061,2025-01-05,C-112,Pinnacle Data,Implementation,service_billing,8073.54,USD,CON-112,2025-01-01,2025-12-31
TXN-0062,2025-01-16,C-112,Pinnacle Data,API Overage,usage_billing,2457.21,USD,CON-112,2025-01-01,2025-01-28
TXN-0063,2025-01-05,C-113,Catalyst Corp,Platform Standard Monthly,subscription_billing,2464.92,USD,CON-113,2025-01-01,2025-01-28
TXN-0064,2025-01-07,C-113,Catalyst Corp,Platform Basic Monthly,subscription_billing,1163.76,USD,CON-113,2025-01-01,2025-01-28
TXN-0065,2025-01-04,C-113,Catalyst Corp,Implementation,service_billing,7831.98,USD,CON-113,2025-01-01,2025-12-31
TXN-0066,2025-01-01,C-113,Catalyst Corp,Premium Support,subscription_billing,6041.76,USD,CON-113,2025-01-01,2025-12-31
TXN-0067,2025-01-12,C-114,Meridian Tech,Platform Pro Annual,subscription_billing,24681.32,USD,CON-114,2025-01-01,2025-12-31
TXN-0068,2025-01-19,C-114,Meridian Tech,Platform Standard Monthly,subscription_billing,2518.52,USD,CON-114,2025-01-01,2025-01-28
TXN-0069,2025-01-13,C-114,Meridian Tech,Platform Basic Monthly,subscription_billing,1230.09,USD,CON-114,2025-01-01,2025-01-28
TXN-0070,2025-01-17,C-114,Meridian Tech,API Overage,usage_billing,711.15,USD,CON-114,2025-01-01,2025-01-28
TXN-0071,2025-01-07,C-114,Meridian Tech,Premium Support,subscription_billing,5662.51,USD,CON-114,2025-01-01,2025-12-31
TXN-0072,2025-02-04,C-100,TechFlow Inc,Platform Standard Monthly,subscription_billing,2660.24,USD,CON-100,2025-02-01,2025-02-28
TXN-0073,2025-02-03,C-100,TechFlow Inc,Platform Basic Monthly,subscription_billing,1066.99,USD,CON-100,2025-02-01,2025-02-28
TXN-0074,2025-02-05,C-100,TechFlow Inc,API Overage,usage_billing,2325.13,USD,CON-100,2025-02-01,2025-02-28
TXN-0075,2025-02-13,C-101,DataSphere Ltd,Platform Standard Monthly,subscription_billing,2579.11,USD,CON-101,2025-02-01,2025-02-28
TXN-0076,2025-02-23,C-101,DataSphere Ltd,Platform Basic Monthly,subscription_refund,-467.27,USD,CON-101,2025-02-01,2025-02-28
TXN-0077,2025-02-09,C-101,DataSphere Ltd,Platform Basic Monthly,subscription_billing,1064.75,USD,CON-101,2025-02-01,2025-02-28
TXN-0078,2025-02-03,C-101,DataSphere Ltd,API Overage,usage_billing,5234.56,USD,CON-101,2025-02-01,2025-02-28
TXN-0079,2025-02-10,C-102,CloudNine Corp,Platform Basic Monthly,subscription_billing,1263.91,USD,CON-102,2025-02-01,2025-02-28
TXN-0080,2025-02-15,C-102,CloudNine Corp,API Overage,usage_billing,763.61,USD,CON-102,2025-02-01,2025-02-28
TXN-0081,2025-02-13,C-103,InnovateTech,Platform Standard Monthly,subscription_billing,2709.41,USD,CON-103,2025-02-01,2025-02-28
TXN-0082,2025-02-13,C-103,InnovateTech,API Overage,usage_billing,1068.01,USD,CON-103,2025-02-01,2025-02-28
TXN-0083,2025-02-06,C-104,Quantum Analytics,Platform Standard Monthly,subscription_billing,2509.88,USD,CON-104,2025-02-01,2025-02-28
TXN-0084,2025-02-19,C-104,Quantum Analytics,Platform Basic Monthly,subscription_billing,1288.7,USD,CON-104,2025-02-01,2025-02-28
TXN-0085,2025-02-08,C-104,Quantum Analytics,API Overage,usage_billing,526.86,USD,CON-104,2025-02-01,2025-02-28
TXN-0086,2025-02-01,C-105,NexGen Solutions,Platform Standard Monthly,subscription_billing,2486.4,USD,CON-105,2025-02-01,2025-02-28
TXN-0087,2025-02-05,C-106,AlphaWave Digital,Platform Standard Monthly,subscription_billing,2550.21,USD,CON-106,2025-02-01,2025-02-28
TXN-0088,2025-02-10,C-107,Prisma Systems,Platform Basic Monthly,subscription_billing,1286.21,USD,CON-107,2025-02-01,2025-02-28
TXN-0089,2025-02-08,C-107,Prisma Systems,API Overage,usage_billing,2460.97,USD,CON-107,2025-02-01,2025-02-28
TXN-0090,2025-02-17,C-108,Vertex AI Labs,Platform Standard Monthly,subscription_billing,2400.22,USD,CON-108,2025-02-01,2025-02-28
TXN-0091,2025-02-03,C-108,Vertex AI Labs,API Overage,usage_billing,1604.3,USD,CON-108,2025-02-01,2025-02-28
TXN-0092,2025-02-13,C-109,FusionPoint,Platform Standard Monthly,subscription_billing,2587.53,USD,CON-109,2025-02-01,2025-02-28
TXN-0093,2025-02-11,C-109,FusionPoint,API Overage,usage_billing,2644.06,USD,CON-109,2025-02-01,2025-02-28
TXN-0094,2025-02-01,C-110,ClearPath Software,Platform Standard Monthly,subscription_billing,2485.68,USD,CON-110,2025-02-01,2025-02-28
TXN-0095,2025-02-03,C-110,ClearPath Software,API Overage,usage_billing,3084.32,USD,CON-110,2025-02-01,2025-02-28
TXN-0096,2025-02-19,C-111,BlueSky Dynamics,Platform Standard Monthly,subscription_billing,2460.87,USD,CON-111,2025-02-01,2025-02-28
TXN-0097,2025-02-08,C-111,BlueSky Dynamics,API Overage,usage_billing,3594.15,USD,CON-111,2025-02-01,2025-02-28
TXN-0098,2025-02-17,C-112,Pinnacle Data,Platform Standard Monthly,subscription_billing,2617.13,USD,CON-112,2025-02-01,2025-02-28
TXN-0099,2025-02-19,C-112,Pinnacle Data,API Overage,usage_billing,3197.7,USD,CON-112,2025-02-01,2025-02-28
TXN-0100,2025-02-02,C-113,Catalyst Corp,Platform Standard Monthly,subscription_billing,2602.92,USD,CON-113,2025-02-01,2025-02-28
TXN-0101,2025-02-10,C-113,Catalyst Corp,Platform Basic Monthly,subscription_billing,1323.15,USD,CON-113,2025-02-01,2025-02-28
TXN-0102,2025-02-05,C-113,Catalyst Corp,API Overage,usage_billing,1160.98,USD,CON-113,2025-02-01,2025-02-28
TXN-0103,2025-02-19,C-114,Meridian Tech,Platform Standard Monthly,subscription_billing,2599.55,USD,CON-114,2025-02-01,2025-02-28
TXN-0104,2025-02-04,C-114,Meridian Tech,Platform Basic Monthly,subscription_billing,1094.15,USD,CON-114,2025-02-01,2025-02-28
TXN-0105,2025-02-18,C-114,Meridian Tech,API Overage,usage_billing,4875.69,USD,CON-114,2025-02-01,2025-02-28
TXN-0106,2025-03-05,C-100,TechFlow Inc,Platform Standard Monthly,subscription_billing,2470.52,USD,CON-100,2025-03-01,2025-03-28
TXN-0107,2025-03-14,C-100,TechFlow Inc,Platform Basic Monthly,subscription_billing,1195.39,USD,CON-100,2025-03-01,2025-03-28
TXN-0108,2025-03-11,C-100,TechFlow Inc,API Overage,usage_billing,1005.2,USD,CON-100,2025-03-01,2025-03-28
TXN-0109,2025-03-15,C-101,DataSphere Ltd,Platform Basic Monthly,subscription_billing,1188.17,USD,CON-101,2025-03-01,2025-03-28
TXN-0110,2025-03-14,C-101,DataSphere Ltd,API Overage,usage_billing,1577.53,USD,CON-101,2025-03-01,2025-03-28
TXN-0111,2025-03-13,C-102,CloudNine Corp,Platform Standard Monthly,subscription_billing,2699.64,USD,CON-102,2025-03-01,2025-03-28
TXN-0112,2025-03-10,C-102,CloudNine Corp,Platform Basic Monthly,subscription_billing,1147.73,USD,CON-102,2025-03-01,2025-03-28
TXN-0113,2025-03-17,C-102,CloudNine Corp,API Overage,usage_billing,891.2,USD,CON-102,2025-03-01,2025-03-28
TXN-0114,2025-03-15,C-103,InnovateTech,Platform Standard Monthly,subscription_billing,2821.67,USD,CON-103,2025-03-01,2025-03-28
TXN-0115,2025-03-09,C-103,InnovateTech,Platform Basic Monthly,subscription_billing,1162.56,USD,CON-103,2025-03-01,2025-03-28
TXN-0116,2025-03-01,C-103,InnovateTech,API Overage,usage_billing,3232.18,USD,CON-103,2025-03-01,2025-03-28
TXN-0117,2025-03-09,C-104,Quantum Analytics,Platform Standard Monthly,subscription_billing,2295.25,USD,CON-104,2025-03-01,2025-03-28
TXN-0118,2025-03-04,C-104,Quantum Analytics,API Overage,usage_billing,4861.91,USD,CON-104,2025-03-01,2025-03-28
TXN-0119,2025-03-02,C-105,NexGen Solutions,Platform Standard Monthly,subscription_billing,2386.55,USD,CON-105,2025-03-01,2025-03-28
TXN-0120,2025-03-04,C-105,NexGen Solutions,Platform Basic Monthly,subscription_billing,1255.98,USD,CON-105,2025-03-01,2025-03-28
TXN-0121,2025-03-14,C-105,NexGen Solutions,API Overage,usage_billing,1530.25,USD,CON-105,2025-03-01,2025-03-28
TXN-0122,2025-03-10,C-106,AlphaWave Digital,Platform Basic Monthly,subscription_billing,1191.09,USD,CON-106,2025-03-01,2025-03-28
TXN-0123,2025-03-05,C-106,AlphaWave Digital,API Overage,usage_billing,4060.0,USD,CON-106,2025-03-01,2025-03-28
TXN-0124,2025-03-12,C-107,Prisma Systems,Platform Standard Monthly,subscription_billing,2473.35,USD,CON-107,2025-03-01,2025-03-28
TXN-0125,2025-03-02,C-107,Prisma Systems,Platform Basic Monthly,subscription_billing,1209.57,USD,CON-107,2025-03-01,2025-03-28
TXN-0126,2025-03-05,C-108,Vertex AI Labs,Platform Standard Monthly,subscription_billing,2425.69,USD,CON-108,2025-03-01,2025-03-28
TXN-0127,2025-03-04,C-108,Vertex AI Labs,Platform Basic Monthly,subscription_billing,1235.3,USD,CON-108,2025-03-01,2025-03-28
TXN-0128,2025-03-06,C-108,Vertex AI Labs,API Overage,usage_billing,3890.09,USD,CON-108,2025-03-01,2025-03-28
TXN-0129,2025-03-02,C-109,FusionPoint,Platform Standard Monthly,subscription_billing,2450.2,USD,CON-109,2025-03-01,2025-03-28
TXN-0130,2025-03-07,C-109,FusionPoint,Platform Basic Monthly,subscription_billing,1146.91,USD,CON-109,2025-03-01,2025-03-28
TXN-0131,2025-03-01,C-109,FusionPoint,API Overage,usage_billing,1268.23,USD,CON-109,2025-03-01,2025-03-28
TXN-0132,2025-03-04,C-110,ClearPath Software,Platform Standard Monthly,subscription_billing,2363.58,USD,CON-110,2025-03-01,2025-03-28
TXN-0133,2025-03-01,C-110,ClearPath Software,Platform Basic Monthly,subscription_billing,1150.98,USD,CON-110,2025-03-01,2025-03-28
TXN-0134,2025-03-08,C-110,ClearPath Software,API Overage,usage_billing,2453.52,USD,CON-110,2025-03-01,2025-03-28
TXN-0135,2025-03-19,C-111,BlueSky Dynamics,Platform Standard Monthly,subscription_billing,2383.3,USD,CON-111,2025-03-01,2025-03-28
TXN-0136,2025-03-08,C-111,BlueSky Dynamics,Platform Basic Monthly,subscription_billing,1270.92,USD,CON-111,2025-03-01,2025-03-28
TXN-0137,2025-03-12,C-111,BlueSky Dynamics,API Overage,usage_billing,2625.21,USD,CON-111,2025-03-01,2025-03-28
TXN-0138,2025-03-19,C-112,Pinnacle Data,API Overage,usage_billing,931.03,USD,CON-112,2025-03-01,2025-03-28
TXN-0139,2025-03-14,C-113,Catalyst Corp,Platform Standard Monthly,subscription_billing,2662.73,USD,CON-113,2025-03-01,2025-03-28
TXN-0140,2025-03-09,C-113,Catalyst Corp,API Overage,usage_billing,1952.63,USD,CON-113,2025-03-01,2025-03-28
TXN-0141,2025-03-11,C-114,Meridian Tech,Platform Standard Monthly,subscription_billing,2330.16,USD,CON-114,2025-03-01,2025-03-28
TXN-0142,2025-03-12,C-114,Meridian Tech,Platform Basic Monthly,subscription_billing,1250.43,USD,CON-114,2025-03-01,2025-03-28
TXN-0143,2025-04-18,C-100,TechFlow Inc,Platform Basic Monthly,subscription_billing,1197.69,USD,CON-100,2025-04-01,2025-04-28
TXN-0144,2025-04-13,C-101,DataSphere Ltd,Platform Standard Monthly,subscription_billing,2500.09,USD,CON-101,2025-04-01,2025-04-28
TXN-0145,2025-04-17,C-101,DataSphere Ltd,Platform Basic Monthly,subscription_billing,1209.5,USD,CON-101,2025-04-01,2025-04-28
TXN-0146,2025-04-18,C-101,DataSphere Ltd,API Overage,usage_billing,3252.97,USD,CON-101,2025-04-01,2025-04-28
TXN-0147,2025-04-10,C-102,CloudNine Corp,Platform Basic Monthly,subscription_billing,1040.44,USD,CON-102,2025-04-01,2025-04-28
